"Geneid"	"queen.beta.estimate"	"queen.adjusted.pvalue"	"worker.beta.estimate"	"worker.adjusted.pvalue"
"1"	"MSTRG.51"	-0.505582849049146	0.00721754920166593	0.475623433063759	0.109781107850066
"2"	"MSTRG.100"	0.561082453065417	0.047161320122148	2.49573669812681	9.04091906885325e-17
"3"	"MSTRG.108"	-0.423496759547693	1.7288212820296e-06	0.850451387254927	0.000290808813732219
"4"	"MSTRG.158"	0.0836767307807174	0.26108074820692	0.869842357174924	0.000177777250226514
"5"	"MSTRG.176"	0.0231337507277417	0.717321950353068	-0.801507731118651	0.00046064743002746
"6"	"MSTRG.195"	-0.526686832398521	0.0188187727732733	0.152955005644821	0.437063624050046
"7"	"MSTRG.273"	0.138024944212135	0.538352600548547	0.91344982087255	0.000391859266520196
"8"	"MSTRG.292"	-0.079723473832038	0.69326118095415	-2.72144753067403	2.60207299723799e-14
"9"	"MSTRG.489"	0.884643972585563	4.49507556357809e-05	-1.00231291921201	3.7284466653147e-06
"10"	"MSTRG.530"	-0.197977453866508	0.321887409545108	-2.22595359287267	4.98863942740907e-16
"11"	"MSTRG.559"	-0.177457230983619	0.225067294658084	-1.23250951553695	5.56186906084289e-06
"12"	"MSTRG.574"	0.42282583237118	0.01634203480631	-1.01580361465749	7.12517574787374e-06
"13"	"MSTRG.645"	0.64862064148228	2.11008683465456e-06	-0.106523076232326	0.636327719062766
"14"	"MSTRG.664"	0.0315262536467742	0.891451909353603	-1.19457253675249	1.61556197423885e-05
"15"	"MSTRG.730"	0.0479812725913708	0.844067989570258	1.45092862455312	1.44029818716941e-06
"16"	"MSTRG.731"	1.34541734748048	9.24339843919489e-06	2.93144529310445	1.0184622545242e-10
"17"	"MSTRG.743"	-0.0161865860142707	0.926287036172514	-0.913534038646086	4.23659321480691e-05
"18"	"MSTRG.754"	0.741937344729378	0.00648342217985699	-3.76219951935848	5.86386884583064e-25
"19"	"MSTRG.795"	-0.26158007954193	0.0101800031230713	1.71168052901407	8.74100360669264e-08
"20"	"MSTRG.858"	0.567471444104653	3.69040617688731e-06	-0.804665790553158	3.01858218652981e-05
"21"	"MSTRG.906"	-0.311995037905782	0.117280204084728	1.25182004880519	2.44398585856831e-07
"22"	"MSTRG.988"	0.375018917304333	0.00253440759995662	-0.276483542118159	0.178565764951735
"23"	"MSTRG.1259"	0.0857436819117669	0.803466668395026	-5.02557591543152	3.37716094510247e-71
"24"	"MSTRG.1261"	1.61199873329577	2.33447296011403e-16	-0.793088975991603	0.000980093393917228
"25"	"MSTRG.1275"	-0.675769430300548	1.5448251678269e-10	0.114454341301968	0.631037978801101
"26"	"MSTRG.1304"	-1.34313237333188	2.40363686916788e-14	-0.536503648059675	0.00300627040498766
"27"	"MSTRG.1317"	0.37025438831761	0.000588724966289989	-1.72190639846441	1.55375235979317e-13
"28"	"MSTRG.1329"	0.661020681795067	0.00749002992901562	-1.32646740296328	5.18600653875678e-06
"29"	"MSTRG.1406"	0.187647084535919	0.333866000912402	-0.955069880211931	3.52921898894083e-07
"30"	"MSTRG.1467"	-0.101819475919142	0.66037451181125	-2.47533108986843	2.14269992306871e-12
"31"	"MSTRG.1573"	-0.0533652205394458	0.844067989570258	-2.08083808159181	5.86449580475956e-07
"32"	"MSTRG.1574"	1.228070355905	0.0299829066527278	-0.77394007581555	7.95981462365627e-06
"33"	"MSTRG.1579"	-0.177072200907811	0.344552684700431	-2.60035128451245	5.55627899902949e-10
"34"	"MSTRG.1580"	0.0995745785907836	0.235202654593919	-1.46305080595494	1.37365405947062e-07
