Replicate	Caste	Habitat	Condition
QFT1	Queen	Foret	Terrain
QFT2	Queen	Foret	Terrain
QFT3	Queen	Foret	Terrain
QFT4	Queen	Foret	Terrain
QVT1	Queen	Ville	Terrain
QVT2	Queen	Ville	Terrain
QVT3	Queen	Ville	Terrain
QVT4	Queen	Ville	Terrain
QFL1	Queen	Foret	Labo
QFL2	Queen	Foret	Labo
QFL3	Queen	Foret	Labo
QFL4	Queen	Foret	Labo
QVL1	Queen	Ville	Labo
QVL2	Queen	Ville	Labo
QVL3	Queen	Ville	Labo
QVL4	Queen	Ville	Labo
WFT1	Worker	Foret	Terrain
WFT2	Worker	Foret	Terrain
WFT3	Worker	Foret	Terrain
WFT4	Worker	Foret	Terrain
WVT1	Worker	Ville	Terrain
WVT2	Worker	Ville	Terrain
WVT3	Worker	Ville	Terrain
WVT4	Worker	Ville	Terrain
WFL1	Worker	Foret	Labo
WFL2	Worker	Foret	Labo
WFL3	Worker	Foret	Labo
WFL4	Worker	Foret	Labo
WVL1	Worker	Ville	Labo
WVL2	Worker	Ville	Labo
WVL3	Worker	Ville	Labo
WVL4	Worker	Ville	Labo
