gene,go
MSTRG.10.1.p1,GO:0005634
MSTRG.10.1.p1,GO:0045892
MSTRG.1000.1.p1,GO:0000981
MSTRG.1000.1.p1,GO:0046983
MSTRG.1000.1.p1,GO:0006357
MSTRG.10008.2.p1,GO:0003824
MSTRG.10009.2.p1,GO:0003824
MSTRG.1001.1.p1,GO:0004930
MSTRG.1001.1.p1,GO:0007186
MSTRG.1001.1.p1,GO:0016021
MSTRG.1001.1.p1,GO:0007166
MSTRG.10014.1.p1,GO:0004803
MSTRG.10014.1.p1,GO:0006313
MSTRG.1002.7.p1,GO:0005975
MSTRG.1002.7.p1,GO:0004563
MSTRG.10027.2.p1,GO:0006508
MSTRG.10032.1.p1,GO:0006099
MSTRG.10035.1.p1,GO:0005794
MSTRG.10035.1.p1,GO:0007165
MSTRG.10038.1.p1,GO:0005524
MSTRG.10038.1.p1,GO:0016887
MSTRG.10038.1.p1,GO:0051082
MSTRG.10038.1.p1,GO:0140662
MSTRG.10038.1.p1,GO:0006457
MSTRG.10039.1.p1,GO:0005761
MSTRG.10040.1.p1,GO:0003676
MSTRG.10040.1.p1,GO:0000398
MSTRG.10043.1.p1,GO:0005515
MSTRG.10043.1.p1,GO:0005524
MSTRG.10043.1.p1,GO:0016887
MSTRG.10044.17.p1,GO:0031011
MSTRG.10044.17.p1,GO:0005507
MSTRG.10044.17.p1,GO:0016491
MSTRG.10046.1.p1,GO:0005858
MSTRG.10046.1.p1,GO:0070286
MSTRG.10048.1.p1,GO:0006506
MSTRG.10049.2.p1,GO:0008305
MSTRG.10049.2.p1,GO:0007155
MSTRG.1005.1.p1,GO:0008270
MSTRG.10050.1.p1,GO:0006182
MSTRG.10050.1.p1,GO:0004383
MSTRG.10050.1.p1,GO:0035556
MSTRG.10050.1.p1,GO:0020037
MSTRG.10051.1.p1,GO:0016021
MSTRG.10052.12.p1,GO:0004930
MSTRG.10052.12.p1,GO:0007186
MSTRG.10052.12.p1,GO:0016021
MSTRG.10052.12.p1,GO:0008036
MSTRG.10052.12.p1,GO:0007166
MSTRG.10056.1.p1,GO:0003677
MSTRG.10056.1.p1,GO:0003899
MSTRG.10056.1.p1,GO:0006366
MSTRG.10057.1.p1,GO:0005525
MSTRG.10057.1.p1,GO:0007020
MSTRG.10057.1.p1,GO:0000930
MSTRG.10057.1.p1,GO:0031122
MSTRG.10057.1.p1,GO:0005874
MSTRG.10058.1.p1,GO:0031515
MSTRG.10058.1.p1,GO:0016429
MSTRG.10058.1.p1,GO:0030488
MSTRG.1006.2.p1,GO:0005509
MSTRG.10061.16.p1,GO:0005674
MSTRG.10061.16.p1,GO:0006367
MSTRG.10065.3.p1,GO:0003676
MSTRG.10066.1.p1,GO:0004476
MSTRG.10066.1.p1,GO:0008270
MSTRG.10066.1.p1,GO:0005975
MSTRG.10066.1.p1,GO:0009298
MSTRG.10067.1.p1,GO:0080048
MSTRG.1007.6.p1,GO:0005732
MSTRG.1007.6.p1,GO:0003723
MSTRG.1007.6.p1,GO:0000493
MSTRG.1007.6.p1,GO:0001522
MSTRG.1007.6.p1,GO:0042254
MSTRG.10070.1.p1,GO:0005666
MSTRG.10070.1.p1,GO:0006383
MSTRG.10079.2.p1,GO:0005509
MSTRG.1008.1.p1,GO:0005634
MSTRG.1008.1.p1,GO:0005737
MSTRG.1008.1.p1,GO:0003723
MSTRG.1008.1.p1,GO:0006397
MSTRG.10084.1.p1,GO:0006508
MSTRG.10085.1.p1,GO:0003676
MSTRG.10086.1.p1,GO:0003676
MSTRG.10086.1.p1,GO:0008270
MSTRG.1009.2.p1,GO:0015377
MSTRG.1009.2.p1,GO:0006811
MSTRG.1009.2.p1,GO:0055085
MSTRG.1009.2.p1,GO:0016021
MSTRG.10091.1.p1,GO:0016491
MSTRG.10091.1.p1,GO:0016740
MSTRG.10091.1.p1,GO:0009058
MSTRG.1010.1.p1,GO:0016192
MSTRG.1010.1.p1,GO:0005198
MSTRG.1010.1.p1,GO:0006886
MSTRG.1010.1.p1,GO:0030126
MSTRG.10101.1.p1,GO:0046983
MSTRG.10103.1.p1,GO:0089701
MSTRG.10103.1.p1,GO:0003723
MSTRG.10103.1.p1,GO:0046872
MSTRG.10103.1.p1,GO:0000398
MSTRG.10104.3.p1,GO:0016021
MSTRG.10104.3.p1,GO:0022857
MSTRG.10104.3.p1,GO:0055085
MSTRG.10105.1.p1,GO:0004108
MSTRG.10105.1.p1,GO:0006101
MSTRG.10106.1.p1,GO:0003924
MSTRG.10106.1.p1,GO:0005525
MSTRG.10107.1.p1,GO:0003723
MSTRG.10108.1.p1,GO:0006355
MSTRG.1011.1.p1,GO:0005975
MSTRG.1011.1.p1,GO:0004563
MSTRG.10110.1.p1,GO:0045893
MSTRG.10111.1.p1,GO:0005515
MSTRG.10111.1.p1,GO:0006364
MSTRG.10113.1.p1,GO:0005515
MSTRG.10114.1.p1,GO:0003824
MSTRG.10119.10.p1,GO:0055085
MSTRG.1012.1.p1,GO:0006171
MSTRG.1012.1.p1,GO:0035556
MSTRG.1012.1.p1,GO:0005886
MSTRG.1012.1.p1,GO:0004016
MSTRG.10120.2.p1,GO:0003723
MSTRG.10121.1.p1,GO:0005737
MSTRG.10121.1.p1,GO:0003824
MSTRG.10121.1.p1,GO:0005515
MSTRG.10121.1.p1,GO:0006749
MSTRG.10121.1.p1,GO:0009072
MSTRG.10122.1.p1,GO:0005737
MSTRG.10122.1.p1,GO:0003824
MSTRG.10122.1.p1,GO:0005515
MSTRG.10122.1.p1,GO:0006749
MSTRG.10122.1.p1,GO:0009072
MSTRG.10123.3.p1,GO:0061630
MSTRG.10123.3.p1,GO:0016567
MSTRG.10124.1.p1,GO:0016020
MSTRG.10124.1.p1,GO:0022857
MSTRG.10124.1.p1,GO:0055085
MSTRG.10124.7.p1,GO:0016020
MSTRG.10124.7.p1,GO:0022857
MSTRG.10124.7.p1,GO:0055085
MSTRG.10125.1.p1,GO:0016020
